# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
1.500000000000000000e+01 8.375534817303592945e+02 9.666438283927242248e-01 0.000000000000000000e+00 9.666438283927242248e-01 0.000000000000000000e+00 2.612773155884319434e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.341813410134936306e-05
1.600000000000000000e+01 8.476192215074109981e+02 1.027437749783885801e+00 0.000000000000000000e+00 1.027437749783885801e+00 0.000000000000000000e+00 2.852774053386711913e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.327515035781794372e-05
1.700000000000000000e+01 8.588666009936905539e+02 1.087851533722784092e+00 0.000000000000000000e+00 1.087851533722784092e+00 0.000000000000000000e+00 3.185342498183748455e-03 0.000000000000000000e+00 0.000000000000000000e+00 9.376178208738320343e-05
1.800000000000000000e+01 8.703459552222917637e+02 1.147892549701081455e+00 0.000000000000000000e+00 1.147892549701081455e+00 0.000000000000000000e+00 3.663261572205444173e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.048793431227116365e-04
1.900000000000000000e+01 8.832864168817947075e+02 1.211484333618751519e+00 0.000000000000000000e+00 1.211484333618751519e+00 0.000000000000000000e+00 4.312550317798675460e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.166290197488169050e-04
2.000000000000000000e+01 8.963389548967234077e+02 1.276788684154556597e+00 0.000000000000000000e+00 1.276788684154556597e+00 0.000000000000000000e+00 5.122045558433288744e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.290118750000342359e-04
2.100000000000000000e+01 9.098131265246140629e+02 1.345623270098217139e+00 0.000000000000000000e+00 1.345623270098217139e+00 0.000000000000000000e+00 6.077656288781028461e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.420288581363413538e-04
2.200000000000000000e+01 9.237011278854862439e+02 1.417537383627648806e+00 0.000000000000000000e+00 1.417537383627648806e+00 0.000000000000000000e+00 7.175543147752810359e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.556808192422118027e-04
2.300000000000000000e+01 9.379349538956312244e+02 1.491563175949747189e+00 0.000000000000000000e+00 1.491563175949747189e+00 0.000000000000000000e+00 8.417311540181078924e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.699685272412250134e-04
2.400000000000000000e+01 9.525311772421781598e+02 1.564634861725151094e+00 0.000000000000000000e+00 1.564634861725151094e+00 0.000000000000000000e+00 9.799809758511947300e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.848926911433247048e-04
2.500000000000000000e+01 9.674715922209554719e+02 1.632573482419158672e+00 0.000000000000000000e+00 1.632573482419158672e+00 0.000000000000000000e+00 1.132029777360488501e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.004539828593919775e-04
2.600000000000000000e+01 9.826726923953596042e+02 1.694281987871640194e+00 0.000000000000000000e+00 1.694281987871640194e+00 0.000000000000000000e+00 1.297890545756694158e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.166530603466492279e-04
2.700000000000000000e+01 9.982106560687276442e+02 1.747422777849546582e+00 0.000000000000000000e+00 1.747422777849546582e+00 0.000000000000000000e+00 1.478429641343356922e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.334905907020674355e-04
2.800000000000000000e+01 1.014026775028333986e+03 1.791712676328215181e+00 0.000000000000000000e+00 1.791712676328215181e+00 0.000000000000000000e+00 1.675460917940388081e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.509672707098710757e-04
2.900000000000000000e+01 1.030135777047925785e+03 1.828430373814763366e+00 0.000000000000000000e+00 1.828430373814763366e+00 0.000000000000000000e+00 1.890816227108575026e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.690838449913949821e-04
3.000000000000000000e+01 1.046533631819725315e+03 1.858043931677998861e+00 0.000000000000000000e+00 1.858043931677998861e+00 0.000000000000000000e+00 2.125636523328190350e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.878411198984323258e-04
3.100000000000000000e+01 1.063030618241581578e+03 1.881167276876940297e+00 0.000000000000000000e+00 1.881167276876940297e+00 0.000000000000000000e+00 2.380786360426357870e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.072399733808748755e-04
3.200000000000000000e+01 1.079789675450368804e+03 1.898138454559287425e+00 0.000000000000000000e+00 1.898138454559287425e+00 0.000000000000000000e+00 2.657102505591748404e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.272813585330394247e-04
3.300000000000000000e+01 1.096798885204573480e+03 1.908542487403663834e+00 0.000000000000000000e+00 1.908542487403663834e+00 0.000000000000000000e+00 2.954897551738746783e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.479663026325232169e-04
3.400000000000000000e+01 1.114015608509474987e+03 1.911229392710822594e+00 0.000000000000000000e+00 1.911229392710822594e+00 0.000000000000000000e+00 3.274902153760959889e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.692959002295162106e-04
3.500000000000000000e+01 1.131453564889155359e+03 1.906178617508372808e+00 0.000000000000000000e+00 1.906178617508372808e+00 0.000000000000000000e+00 3.617774542482840583e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.912712997433868511e-04
3.600000000000000000e+01 1.149046290592268406e+03 1.892912859434501938e+00 0.000000000000000000e+00 1.892912859434501938e+00 0.000000000000000000e+00 3.983341354083538843e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.138936861319616610e-04
3.700000000000000000e+01 1.166760814184211767e+03 1.869969100887296287e+00 0.000000000000000000e+00 1.869969100887296287e+00 0.000000000000000000e+00 4.371725114720458050e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.371642581735148787e-04
3.800000000000000000e+01 1.184714164182502827e+03 1.835798034105941445e+00 0.000000000000000000e+00 1.835798034105941445e+00 0.000000000000000000e+00 4.783693354243528928e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.610842021155967798e-04
3.900000000000000000e+01 1.202905969260859138e+03 1.790041736207155898e+00 0.000000000000000000e+00 1.790041736207155898e+00 0.000000000000000000e+00 5.220209881313708083e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.856546628382672607e-04
4.000000000000000000e+01 1.221301518985261055e+03 1.732656808084325650e+00 0.000000000000000000e+00 1.732656808084325650e+00 0.000000000000000000e+00 5.682269045148054254e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.108767126850257464e-04
4.100000000000000000e+01 1.239850833198206828e+03 1.663769284081314082e+00 0.000000000000000000e+00 1.663769284081314082e+00 0.000000000000000000e+00 6.170741902227676323e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.367513212271079808e-04
4.200000000000000000e+01 1.258554274057791417e+03 1.584115951265833155e+00 0.000000000000000000e+00 1.584115951265833155e+00 0.000000000000000000e+00 6.685954517640313455e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.632793241482358937e-04
4.300000000000000000e+01 1.277411792409759983e+03 1.494187046911030770e+00 0.000000000000000000e+00 1.494187046911030770e+00 0.000000000000000000e+00 7.228079944933885059e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.904613958961576776e-04
4.400000000000000000e+01 1.296459447626742758e+03 1.393074756552107107e+00 0.000000000000000000e+00 1.393074756552107107e+00 0.000000000000000000e+00 7.797305146452637725e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.182980251064705947e-04
